time,true_spread,pred_spread
2022-03-24 10:56:00,-94.58281106043901,-95.4042552809564
2022-03-24 10:57:00,-94.62095847424257,-95.36160917323795
2022-03-24 10:58:00,-94.65913588804611,-95.40363804281701
2022-03-24 10:59:00,-94.65909588804611,-95.50448164844944
2022-03-24 11:00:00,-94.582901060439,-95.46142818127024
2022-03-24 11:01:00,-94.73539071565324,-95.5353479832404
2022-03-24 11:02:00,-94.65917588804612,-95.51780495950754
2022-03-24 11:03:00,-94.58294106043901,-95.5712354661669
2022-03-24 11:04:00,-94.58294106043901,-95.58327692326972
2022-03-24 11:05:00,-94.62107847424257,-95.60333450610855
2022-03-24 11:06:00,-94.58300106043902,-95.65133473404353
2022-03-24 11:07:00,-94.43058140522476,-95.75488373783367
2022-03-24 11:08:00,-94.46870881902832,-95.84873138751004
2022-03-24 11:09:00,-94.46865881902832,-95.86541098629897
2022-03-24 11:10:00,-94.39245399142119,-95.77493999232642
2022-03-24 11:11:00,-94.46867881902831,-95.86451213879322
2022-03-24 11:12:00,-94.43055140522475,-95.79612179872048
2022-03-24 11:13:00,-94.54492364663545,-95.80679550215572
2022-03-24 11:14:00,-94.50678623283186,-95.78188591391394
2022-03-24 11:15:00,-94.62113847424257,-95.76440133740807
2022-03-24 11:16:00,-94.65924588804612,-95.71185860870389
2022-03-24 11:17:00,-94.54487364663544,-95.69141979054368
2022-03-24 11:18:00,-94.62113847424257,-95.68047864676683
2022-03-24 11:19:00,-94.54491364663544,-95.71143353796226
2022-03-24 11:20:00,-94.54491364663544,-95.75746294311494
2022-03-24 11:21:00,-94.58304106043899,-95.75551514499782
2022-03-24 11:22:00,-94.58300106043902,-95.77481335666799
2022-03-24 11:23:00,-94.583011060439,-95.69310369057537
2022-03-24 11:24:00,-94.582991060439,-95.7159884366281
2022-03-24 11:25:00,-94.54489364663543,-95.67829573139572
2022-03-24 11:26:00,-94.583061060439,-95.74311016385447
2022-03-24 11:27:00,-94.583061060439,-95.83833929344114
2022-03-24 11:28:00,-94.65928588804611,-95.83219347896835
2022-03-24 11:29:00,-94.62119847424256,-95.77564578687037
2022-03-24 11:30:00,-94.73551071565325,-95.87054282994015
2022-03-24 11:31:00,-94.6592758880461,-95.72810428111073
2022-03-24 11:32:00,-94.62115847424256,-95.77349829406107
2022-03-24 11:33:00,-94.62121847424257,-95.79201101042328
2022-03-24 11:34:00,-94.54497364663544,-95.92266580128695
2022-03-24 11:35:00,-94.54494364663543,-95.91670285578945
2022-03-24 11:36:00,-94.583051060439,-95.86323117040202
2022-03-24 11:37:00,-94.43058140522476,-95.82503369366395
2022-03-24 11:38:00,-94.54499364663542,-95.89282185018605
2022-03-24 11:39:00,-94.58307106043901,-95.93210857069954
2022-03-24 11:40:00,-94.2783317500105,-95.8312592089008
2022-03-24 11:41:00,-94.24020433620694,-96.17535176034342
2022-03-24 11:42:00,-94.20209692240338,-96.19819709879613
2022-03-24 11:43:00,-94.20212692240338,-96.2361058816555
2022-03-24 11:44:00,-94.20214692240336,-96.28408618439946
2022-03-24 11:45:00,-94.04959726718914,-96.3249279553761
2022-03-24 11:46:00,-94.0877146809927,-96.1960881280228
2022-03-24 11:47:00,-94.08773468099271,-96.17752803398417
2022-03-24 11:48:00,-94.12568209479626,-96.21710654785053
2022-03-24 11:49:00,-94.16373950859983,-95.7747761629781
2022-03-24 11:50:00,-94.16364950859983,-95.61770101161176
2022-03-24 11:51:00,-94.12560209479626,-95.4496696618798
2022-03-24 11:52:00,-94.20176692240338,-95.60937670958808
2022-03-24 11:53:00,-94.20183692240337,-95.43917705629177
2022-03-24 11:54:00,-94.12558209479626,-95.56565641268293
2022-03-24 11:55:00,-94.08751468099268,-95.55002045112113
2022-03-24 11:56:00,-94.12560209479626,-95.66186630444955
2022-03-24 11:57:00,-94.23991433620694,-95.57709790014526
2022-03-24 11:58:00,-94.23997433620694,-95.42509525962906
2022-03-24 11:59:00,-94.16364950859983,-95.54999078472562
2022-03-24 12:00:00,-94.16359950859983,-95.41320213450378
2022-03-24 12:01:00,-94.16367950859983,-95.34771467337077
2022-03-24 12:02:00,-94.27812175001051,-95.50866151074219
2022-03-24 12:03:00,-94.31623916381407,-95.59597104107381
2022-03-24 12:04:00,-94.35435657761762,-95.58247327389883
2022-03-24 12:05:00,-94.43053140522476,-95.57138158423433
2022-03-24 12:06:00,-94.46858881902831,-95.45341825448256
2022-03-24 12:07:00,-94.46855881902832,-95.36492118276651
2022-03-24 12:08:00,-94.54482364663544,-95.36896821045248
2022-03-24 12:09:00,-94.54484364663543,-95.40139446630882
2022-03-24 12:10:00,-94.43046140522476,-95.43850269927144
2022-03-24 12:11:00,-94.46858881902831,-95.47013947478159
2022-03-24 12:12:00,-94.35421657761762,-95.47741881123207
2022-03-24 12:13:00,-94.2780517500105,-95.45429983348944
2022-03-24 12:14:00,-94.23991433620694,-95.59809462365388
2022-03-24 12:15:00,-94.35431657761762,-95.56775298555964
2022-03-24 12:16:00,-94.31622916381407,-95.61007763352974
2022-03-24 12:17:00,-94.24004433620695,-95.68620381831819
2022-03-24 12:18:00,-94.20191692240337,-95.80725599545916
2022-03-24 12:19:00,-94.16386950859983,-95.81646718987396
2022-03-24 12:20:00,-94.12577209479626,-95.96801243656087
2022-03-24 12:21:00,-93.97333243958201,-96.0200672194762
2022-03-24 12:22:00,-94.04967726718914,-96.10856207728214
2022-03-24 12:23:00,-94.01146985338558,-96.25521635374812
2022-03-24 12:24:00,-93.973402439582,-96.08579112620922
2022-03-24 12:25:00,-94.04964726718913,-96.19073843562653
2022-03-24 12:26:00,-94.04967726718914,-96.14597095923808
2022-03-24 12:27:00,-94.04965726718915,-96.21516893371992
2022-03-24 12:28:00,-93.97353243958202,-96.19038642391861
2022-03-24 12:29:00,-93.97355243958204,-96.39382129582644
2022-03-24 12:30:00,-94.01164985338558,-96.42842161141343
2022-03-24 12:31:00,-94.04967726718914,-96.3639614045727
2022-03-24 12:32:00,-94.12603209479626,-96.13634222137604
2022-03-24 12:33:00,-94.16408950859982,-96.2895177914699
2022-03-24 12:34:00,-94.12593209479627,-96.14035382650019
2022-03-24 12:35:00,-94.04971726718915,-96.09033318419638
2022-03-24 12:36:00,-94.04967726718914,-96.15965292373441
2022-03-24 12:37:00,-94.04980726718914,-96.08576145981371
2022-03-24 12:38:00,-93.89738761197489,-96.30897673301426
2022-03-24 12:39:00,-93.78317537056421,-96.44023636412072
2022-03-24 12:40:00,-93.59265830154641,-96.64142190335407
2022-03-24 12:41:00,-93.66889312915355,-96.78362356380144
2022-03-24 12:42:00,-93.63074571534996,-96.73172286902995
2022-03-24 12:43:00,-93.51638347393931,-96.72700281266972
2022-03-24 12:44:00,-93.47826606013571,-96.72187096902854
2022-03-24 12:45:00,-93.51651347393931,-96.74588303811065
2022-03-24 12:46:00,-93.36408381872505,-96.87847588588697
2022-03-24 12:47:00,-93.36408381872505,-96.89448068487351
2022-03-24 12:48:00,-93.36407381872503,-96.88774597031076
2022-03-24 12:49:00,-93.2878189911179,-96.89631955861311
2022-03-24 12:50:00,-93.5165434739393,-96.8963093746266
2022-03-24 12:51:00,-93.44027864633216,-96.75911070825187
2022-03-24 12:52:00,-93.5163734739393,-96.74686601420066
2022-03-24 12:53:00,-93.44023864633215,-96.45102297697171
2022-03-24 12:54:00,-93.4022112325286,-96.6107725317542
2022-03-24 12:55:00,-93.4022112325286,-96.7250257909391
2022-03-24 12:56:00,-93.47851606013572,-96.73476035370454
2022-03-24 12:57:00,-93.55474088774282,-96.75487151316811
2022-03-24 12:58:00,-93.55475088774284,-96.68833023082149
2022-03-24 12:59:00,-93.55477088774285,-96.69405230289871
2022-03-24 13:00:00,-93.5928283015464,-96.72005556273615
2022-03-24 13:01:00,-93.85956019817134,-96.59960556914584
2022-03-24 13:02:00,-93.74514795676065,-96.0725222773399
2022-03-24 13:03:00,-93.70705054295709,-96.0586233496525
2022-03-24 13:04:00,-93.74516795676064,-96.12120616071766
2022-03-24 13:05:00,-93.74510795676063,-96.09148397467297
2022-03-24 13:06:00,-93.82137278436778,-95.97787762002295
2022-03-24 13:07:00,-93.7832953705642,-95.95831329635722
2022-03-24 13:08:00,-93.82134278436779,-96.05786176457376
2022-03-24 13:09:00,-93.85950019817133,-95.88909761059449
2022-03-24 13:10:00,-93.7832453705642,-95.95098303997416
2022-03-24 13:11:00,-93.74520795676065,-95.9996447842508
2022-03-24 13:12:00,-93.74520795676065,-96.16402185395077
2022-03-24 13:13:00,-93.66894312915352,-96.16287194903825
2022-03-24 13:14:00,-93.66906312915353,-96.17746870119315
2022-03-24 13:15:00,-93.82144278436779,-96.36861947144978
2022-03-24 13:16:00,-93.82143278436779,-96.0232424093598
2022-03-24 13:17:00,-93.70717054295709,-96.03293756452524
2022-03-24 13:18:00,-93.70722054295707,-96.24293889382727
2022-03-24 13:19:00,-93.66909312915354,-96.3113411890146
2022-03-24 13:20:00,-93.78328537056422,-96.3367856579396
2022-03-24 13:21:00,-93.82154278436778,-95.93669889192716
2022-03-24 13:22:00,-93.63103571534997,-96.1404760343384
2022-03-24 13:23:00,-93.59288830154641,-96.32706305028877
2022-03-24 13:24:00,-93.55483088774285,-96.30621598710376
2022-03-24 13:25:00,-93.47854606013573,-96.4269869976604
2022-03-24 13:26:00,-93.44042864633215,-96.39018738376748
2022-03-24 13:27:00,-93.47853606013571,-96.42089121755616
2022-03-24 13:28:00,-93.4023512325286,-96.34132505923463
2022-03-24 13:29:00,-93.4024012325286,-96.47608709613937
2022-03-24 13:30:00,-93.4023412325286,-96.54913284639701
2022-03-24 13:31:00,-93.09755192210011,-96.41937114687279
2022-03-24 13:32:00,-93.51675347393929,-96.68423892493325
2022-03-24 13:33:00,-93.59299830154643,-95.88781132881903
2022-03-24 13:34:00,-93.44048864633216,-95.89751268293277
2022-03-24 13:35:00,-93.51671347393928,-95.91904738659879
2022-03-24 13:36:00,-93.47861606013572,-95.87289843030004
2022-03-24 13:37:00,-93.5928683015464,-95.93492997774713
2022-03-24 13:38:00,-93.59292830154641,-95.64782612929697
2022-03-24 13:39:00,-93.7835253705642,-95.76985419801561
2022-03-24 13:40:00,-93.78340537056421,-95.58207919789878
2022-03-24 13:41:00,-93.89771761197488,-95.41252467800929
2022-03-24 13:42:00,-94.05015726718914,-95.2851119371146
2022-03-24 13:43:00,-93.93590502577845,-95.15502479280383
2022-03-24 13:44:00,-93.85962019817134,-95.33955420069545
2022-03-24 13:45:00,-94.01214985338557,-95.31515912516386
2022-03-24 13:46:00,-94.08839468099269,-95.30495521345453
2022-03-24 13:47:00,-94.05025726718914,-95.3056658786007
2022-03-24 13:48:00,-94.01216985338559,-95.3244730450079
2022-03-24 13:49:00,-93.97403243958202,-95.38651743313365
2022-03-24 13:50:00,-93.97408243958202,-95.37499757325335
2022-03-24 13:51:00,-93.89781761197487,-95.47935598258067
2022-03-24 13:52:00,-93.97403243958202,-95.48470700332301
2022-03-24 13:53:00,-94.16462950859982,-95.4282142161958
2022-03-24 13:54:00,-94.16456950859981,-95.31135341368018
2022-03-24 13:55:00,-94.31692916381408,-95.25818414841413
2022-03-24 13:56:00,-94.20255692240339,-95.09831548526759
2022-03-24 13:57:00,-94.12638209479626,-95.10568692037874
2022-03-24 13:58:00,-94.16445950859983,-95.20492057057726
2022-03-24 13:59:00,-94.08825468099268,-95.14910922498274
2022-03-24 14:00:00,-94.16439950859983,-95.21136437735123
2022-03-24 14:01:00,-94.12631209479626,-95.08375902627674
2022-03-24 14:02:00,-94.24066433620696,-95.2154645388799
2022-03-24 14:03:00,-94.24063433620694,-95.23198252223058
2022-03-24 14:04:00,-94.24059433620694,-95.21922375825123
2022-03-24 14:05:00,-94.20255692240339,-95.20417625399737
2022-03-24 14:06:00,-94.16440950859983,-95.33332425763837
2022-03-24 14:07:00,-94.0881646809927,-95.31103903844418
2022-03-24 14:08:00,-94.12630209479624,-95.32303975960096
2022-03-24 14:09:00,-94.16439950859983,-95.34160428145978
2022-03-24 14:10:00,-94.0882246809927,-95.31693556663828
2022-03-24 14:11:00,-94.05004726718911,-95.42882614095095
2022-03-24 14:12:00,-94.01193985338558,-95.37482311713647
2022-03-24 14:13:00,-93.97383243958201,-95.41996120207776
2022-03-24 14:14:00,-93.93569502577846,-95.46598175158998
2022-03-24 14:15:00,-93.93573502577844,-95.44991319199218
2022-03-24 14:16:00,-93.82149278436779,-95.55061953519764
2022-03-24 14:17:00,-93.85962019817134,-95.78617071554602
2022-03-24 14:18:00,-93.7834453705642,-95.77730621945487
2022-03-24 14:19:00,-93.74522795676064,-95.92116609857662
2022-03-24 14:20:00,-93.70708054295709,-95.74138774178678
2022-03-24 14:21:00,-93.70709054295708,-95.73287747131366
2022-03-24 14:22:00,-93.78334537056422,-95.76191511635155
2022-03-24 14:23:00,-93.82150278436778,-95.75503428372133
2022-03-24 14:24:00,-93.74523795676063,-95.82980068491857
2022-03-24 14:25:00,-93.82145278436779,-95.82368010902107
2022-03-24 14:26:00,-93.7833153705642,-95.74009216158886
2022-03-24 14:27:00,-93.66898312915355,-95.73821742250543
2022-03-24 14:28:00,-93.66900312915352,-95.8422995358507
2022-03-24 14:29:00,-93.63082571534996,-95.89367686227156
2022-03-24 14:30:00,-93.5165834739393,-95.75982075738493
2022-03-24 14:31:00,-93.51651347393931,-96.05673267041628
2022-03-24 14:32:00,-93.70704054295709,-95.99015773663596
2022-03-24 14:33:00,-93.74509795676065,-95.7436060797197
2022-03-24 14:34:00,-93.78318537056423,-95.62490950293864
2022-03-24 14:35:00,-93.7832153705642,-95.5642705049524
2022-03-24 14:36:00,-93.74512795676064,-95.62313394702825
2022-03-24 14:37:00,-93.74505795676065,-95.70411877894998
2022-03-24 14:38:00,-93.7068305429571,-95.59602240378841
2022-03-24 14:39:00,-93.74469795676065,-95.42987287765223
2022-03-24 14:40:00,-93.66857312915354,-95.07934271838397
2022-03-24 14:41:00,-93.66857312915354,-95.2885032046252
2022-03-24 14:42:00,-93.66859312915354,-95.29669555760616
2022-03-24 14:43:00,-93.74476795676064,-95.34780322977528
2022-03-24 14:44:00,-93.82099278436779,-95.20713138121577
2022-03-24 14:45:00,-93.89720761197488,-95.1573626818828
2022-03-24 14:46:00,-94.35460657761763,-95.1113266349998
2022-03-24 14:47:00,-94.81174554326036,-94.83515020408376
2022-03-24 14:48:00,-94.88815037086749,-94.81319264358625
2022-03-24 14:49:00,-94.77368812945683,-94.98436110394788
2022-03-24 14:50:00,-94.65940588804611,-94.9039806694869
2022-03-24 14:51:00,-94.583181060439,-94.87571346516826
2022-03-24 14:52:00,-94.62129847424256,-94.86315351031702
2022-03-24 14:53:00,-94.62126847424257,-94.88860727766448
2022-03-24 14:54:00,-94.77363812945681,-94.89558109451941
2022-03-24 14:55:00,-94.65931588804611,-94.92044330508476
2022-03-24 14:56:00,-94.69745330184968,-94.90493973534772
2022-03-24 14:57:00,-94.77363812945681,-94.92436413989432
2022-03-24 14:58:00,-94.81170554326036,-94.96084052291079
2022-03-24 14:59:00,-94.9641251984746,-94.98113986473393
2022-03-24 15:00:00,-94.81181554326035,-95.04440234620368
2022-03-24 15:01:00,-95.00240261227819,-95.02554027482569
2022-03-24 15:02:00,-95.0786774398853,-95.10384361881896
2022-03-24 15:03:00,-95.04061002608175,-95.17972937296915
2022-03-24 15:04:00,-95.0786874398853,-95.19945176981693
2022-03-24 15:05:00,-95.19306968129598,-95.21052751932862
2022-03-24 15:06:00,-95.04062002608174,-95.28592222821584
2022-03-24 15:07:00,-94.8882003708675,-95.19505228764102
2022-03-24 15:08:00,-94.65962588804612,-95.15303935821477
2022-03-24 15:09:00,-94.77394812945683,-95.1377695773856
2022-03-24 15:10:00,-94.81201554326036,-95.12085973194498
2022-03-24 15:11:00,-94.88824037086749,-95.11673300349494
2022-03-24 15:12:00,-94.9645151984746,-95.16377859338934
2022-03-24 15:13:00,-94.96452519847459,-95.21268829559861
2022-03-24 15:14:00,-95.00259261227819,-95.23424292445563
2022-03-24 15:15:00,-94.96449519847461,-95.22401731642718
2022-03-24 15:16:00,-94.92638778467105,-95.24048615097338
2022-03-24 15:17:00,-95.11695485368885,-95.27327283139606
2022-03-24 15:18:00,-95.04073002608173,-95.34833456820232
2022-03-24 15:19:00,-95.11693485368885,-95.360922861103
2022-03-24 15:20:00,-95.04083002608174,-95.37347130362167
2022-03-24 15:21:00,-95.11698485368885,-95.4171269543515
2022-03-24 15:22:00,-95.19319968129598,-95.41600760139853
2022-03-24 15:23:00,-95.19309968129596,-95.441932488818
2022-03-24 15:24:00,-95.23121709509955,-95.414326800841
2022-03-24 15:25:00,-95.2693645089031,-95.44438284453072
2022-03-24 15:26:00,-95.193159681296,-95.47631628399596
2022-03-24 15:27:00,-95.38382675031379,-95.45877768808334
2022-03-24 15:28:00,-95.53632640552803,-95.57287818747048
2022-03-24 15:29:00,-95.4600615779209,-95.66789035386614
2022-03-24 15:30:00,-95.23135709509957,-95.64704417624517
2022-03-24 15:31:00,-95.34588933651021,-95.53564464719548
2022-03-24 15:32:00,-95.53646640552802,-95.65313242905503
2022-03-24 15:33:00,-95.72699347454585,-95.72349492025613
2022-03-24 15:34:00,-95.76505088834939,-95.79482267626635
2022-03-24 15:35:00,-95.72696347454583,-95.82291719559625
2022-03-24 15:36:00,-95.87943312976009,-95.83189238719304
2022-03-24 15:37:00,-95.84126571595651,-95.91888134334035
2022-03-24 15:38:00,-95.87936312976008,-95.91272357375294
2022-03-24 15:39:00,-95.91743054356363,-95.95319695008683
2022-03-24 15:40:00,-96.22239985399212,-95.9812560468549
2022-03-24 15:41:00,-96.10805761258143,-96.1497301786094
2022-03-24 15:42:00,-96.14617502638501,-96.12788597030965
2022-03-24 15:43:00,-96.18435244018858,-96.14752512413718
2022-03-24 15:44:00,-96.18434244018859,-96.2044447531341
2022-03-24 15:45:00,-96.10815761258145,-96.23102274403679
2022-03-24 15:46:00,-96.03193278497433,-96.1921292139593
2022-03-24 15:47:00,-95.91751054356364,-96.17711491835715
2022-03-24 15:48:00,-95.76509088834939,-96.10986031417221
2022-03-24 15:49:00,-95.61266123313516,-96.03331392924439
2022-03-24 15:50:00,-95.49834899172446,-95.96116259867225
2022-03-24 15:51:00,-95.68892606074228,-95.98145087094481
2022-03-24 15:52:00,-95.84144571595651,-95.99747515234037
2022-03-24 15:53:00,-95.84137571595652,-96.09251565678547
2022-03-24 15:54:00,-95.76511088834938,-96.06791601595947
2022-03-24 15:55:00,-95.84136571595653,-96.03364158794106
2022-03-24 15:56:00,-95.80324830215295,-96.07049876349691
2022-03-24 15:57:00,-95.87946312976008,-96.08185612237494
2022-03-24 15:58:00,-95.76512088834939,-96.09111912228639
2022-03-24 15:59:00,-95.68878606074229,-96.06050960106853
2022-03-24 16:00:00,-95.76499088834939,-95.9725673352267
2022-03-24 16:01:00,-95.80318830215295,-96.00296299272767
2022-03-24 16:02:00,-95.65075864693871,-96.07504436374026
2022-03-24 16:03:00,-95.6507186469387,-96.06828042556401
2022-03-24 16:04:00,-95.53644640552803,-96.02475052492855
2022-03-24 16:05:00,-95.57455381933158,-96.06629012037271
2022-03-24 16:06:00,-95.57453381933159,-96.07144454589705
2022-03-24 16:07:00,-95.80318830215295,-96.06790848866508
2022-03-24 16:08:00,-95.72696347454583,-96.06267701906884
2022-03-24 16:09:00,-95.65074864693871,-96.08627951478007
2022-03-24 16:10:00,-95.53640640552803,-96.07582985904823
2022-03-24 16:11:00,-95.53642640552802,-96.0868046542588
2022-03-24 16:12:00,-95.61267123313515,-96.10385087656238
2022-03-24 16:13:00,-95.61266123313516,-96.11974940786354
2022-03-24 16:14:00,-95.72704347454584,-96.12891278181989
2022-03-24 16:15:00,-95.68888606074228,-96.1674724542524
2022-03-24 16:16:00,-95.68897606074229,-96.14173353528241
2022-03-24 16:17:00,-95.91767054356363,-96.22063286387801
2022-03-24 16:18:00,-95.99387537117076,-96.23370378918324
2022-03-24 16:19:00,-96.07011019877787,-96.28802871552811
2022-03-24 16:20:00,-96.18451244018857,-96.32959709180375
2022-03-24 16:21:00,-96.22260985399213,-96.42412219797461
2022-03-24 16:22:00,-96.2606972677957,-96.46585440359856
